store_name,department,category,item,description,qty_sold,sold_price,total_sales
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,887256300340,Assassins Creed Unity PS4,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,887256300340,Assassins Creed Unity PS4,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,887256300340,Assassins Creed Unity PS4,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 4- PS4,887256300340,Assassins Creed Unity PS4,1,39.99,39.99
ALBROOK MALL,CONSOLAS,PLAYSTATION 3 - PS3,711719992097,PS3 Ultraslim 250 GB,1,279.99,279.99
ALBROOK MALL,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,249.99,249.99
ALBROOK MALL,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,249.99,249.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO WII U,883929280483,Game Party Champions Wiiu,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,47875874367,COD Black Ops I + II C. PS3,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,711719822929,God of War Col FAV - PS3,1,19.99,19.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,47875874367,COD Black Ops I + II C. PS3,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,887256000615,AssassinCreed The  A.C. PS3,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,13388370030,Street fighter X Tekken PSV,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,47875767997,The Amazing Spiderman PSVITA,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,8888317371,Assassins Creed Liberation PSV,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,8888317371,Assassins Creed Liberation PSV,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,47875843899,COD Black Ops Psvita,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,711719220268,Uncharted Golden Abyss PSV,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,PS VITA,711719220268,Uncharted Golden Abyss PSV,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO WII U,883929326969,Lego Marvel Super Heroes WII U,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO WII U,883929280483,Game Party Champions Wiiu,1,0.01,0.01
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,887256000615,AssassinCreed The  A.C. PS3,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,47875874367,COD Black Ops I + II C. PS3,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,47875874367,COD Black Ops I + II C. PS3,1,49.99,49.99
