store_name,department,category,item,description,qty_sold,sold_price,total_sales
GM EL GORILA,VIDEO JUEGO,XBOX ONE,728658046422,RB Bundle XONE,1,399.99,399.99
GM EL GORILA,VIDEO JUEGO,NINTENDO 3DS,45496743581,Fire Emblem Fates S.E 3DS,2,89.99,179.98
GM EL GORILA,CONSOLAS,NINTENDO 3DS,45496781514,NINTENDO NEW 3DSXL BLACK,1,249.99,249.99
GM EL GORILA,VIDEO JUEGO,PLAYSTATION 4- PS4,710425476570,NBA 2K16 PS4,-1,69.99,-69.99
GM EL GORILA,AUDIFONOS,GAMING,728658041182,Headset Wireless Kunai Blanco,-1,89.99,-89.99
GM EL GORILA,AUDIFONOS,GAMING,728658041182,Headset Wireless Kunai Blanco,-1,89.99,-89.99
GM EL GORILA,VIDEO JUEGO,PLAYSTATION 4- PS4,710425474156,NBA 2K15 PS4,-1,39.99,-39.99
GM EL GORILA,VIDEO JUEGO,PLAYSTATION 4- PS4,728658046514,RB Software + Guitar PS4,1,169.99,169.99
GM EL GORILA,VIDEO JUEGO,PLAYSTATION 4- PS4,47875874602,COD BLACK OPS III PS4,-1,69.99,-69.99
GM EL GORILA,CONSOLAS,XBOX ONE,889842003055,Xbox One Tomb Raider 1TB,1,479.99,479.99
GM EL GORILA,CONSOLAS,XBOX ONE,885370951929,Xbox One Halo 5 1TB,1,599.99,599.99
GM EL GORILA,CONSOLAS,PLAYSTATION 3 - PS3,711719502647,PS3 Ultraslim 500 GB E. Play 3,1,349.99,349.99
GM EL GORILA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
GM EL GORILA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
GM EL GORILA,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
GM EL GORILA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
GM EL GORILA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
GM EL GORILA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
GM EL GORILA,CONSOLAS,PLAYSTATION 4 - PS4,711719502104,PS4 God of War Bundle,1,499.99,499.99
GM EL GORILA,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
GM EL GORILA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
